date,sent_demand_7d,news_demand_7d,nonews_demand_7d,sent_supply_7d,news_supply_7d,nonews_supply_7d,sent_geopolitical_7d,news_geopolitical_7d,nonews_geopolitical_7d,sent_financial_7d,news_financial_7d,nonews_financial_7d
2007-12-25,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-12-26,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-12-27,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-12-28,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-12-29,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-12-30,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-12-31,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2008-01-01,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2008-01-02,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2008-01-03,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2008-01-04,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2008-01-05,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2008-01-06,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2008-01-07,0.0,0.0,1,0.9164061453193426,1.0,0,0.0,0.0,1,0.0,0.0,1
2008-01-08,-0.9153543822467328,1.0,0,0.9164061453193426,1.0,0,-0.9153543822467328,1.0,0,-0.9153543822467328,1.0,0
2008-01-09,-0.9153543822467328,1.0,0,0.9164061453193426,1.0,0,-0.9153543822467328,1.0,0,-0.9153543822467328,1.0,0
2008-01-10,-0.9153543822467328,1.0,0,0.9164061453193426,1.0,0,-0.9153543822467328,1.0,0,-0.9153543822467328,1.0,0
2008-01-11,0.01134419441223139,2.0,0,0.9164061453193426,1.0,0,-0.9153543822467328,1.0,0,-0.9153543822467328,1.0,0
2008-01-12,0.01134419441223139,2.0,0,0.9164061453193426,1.0,0,-0.9153543822467328,1.0,0,-0.9153543822467328,1.0,0
2008-01-13,0.01134419441223139,2.0,0,0.9164061453193426,1.0,0,-0.9153543822467328,1.0,0,-0.9153543822467328,1.0,0
2008-01-14,0.01134419441223139,2.0,0,0.0,0.0,1,-0.9153543822467328,1.0,0,-0.9153543822467328,1.0,0
2008-01-15,0.9380427710711956,1.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2008-01-16,0.9380427710711956,1.0,0,0.0,0.0,1,0.1303509287536144,1.0,0,0.0,0.0,1
2008-01-17,0.4603399420157075,3.0,0,0.2562642805278301,1.0,0,0.056494020856916786,3.0,0,-0.0173628870397806,2.0,0
2008-01-18,-0.4729373836889863,4.0,0,0.2562642805278301,1.0,0,0.056494020856916786,3.0,0,-0.0173628870397806,2.0,0
2008-01-19,-0.4729373836889863,4.0,0,0.2562642805278301,1.0,0,0.056494020856916786,3.0,0,-0.0173628870397806,2.0,0
2008-01-20,-0.4729373836889863,4.0,0,0.2562642805278301,1.0,0,0.056494020856916786,3.0,0,-0.0173628870397806,2.0,0
2008-01-21,-0.4729373836889863,4.0,0,0.2562642805278301,1.0,0,0.056494020856916786,3.0,0,-0.0173628870397806,2.0,0
2008-01-22,-0.4729373836889863,4.0,0,0.2562642805278301,1.0,0,0.33398944636185957,4.0,0,-0.0173628870397806,2.0,0
2008-01-23,-0.6251829098910093,6.0,0,-0.34014964662492275,2.0,0,-0.01935218398769704,5.0,0,-0.473518424667418,4.0,0
2008-01-24,-0.9290929213166237,4.0,0,-0.9365635737776756,1.0,0,-0.020346832461655244,3.0,0,-0.9296739622950554,2.0,0
2008-01-25,-0.9296739622950554,2.0,0,-0.9365635737776756,1.0,0,-0.020346832461655244,3.0,0,-0.9296739622950554,2.0,0
2008-01-26,-0.9296739622950554,2.0,0,-0.9365635737776756,1.0,0,-0.020346832461655244,3.0,0,-0.9296739622950554,2.0,0
2008-01-27,-0.9296739622950554,2.0,0,-0.9365635737776756,1.0,0,-0.020346832461655244,3.0,0,-0.9296739622950554,2.0,0
2008-01-28,-0.9296739622950554,2.0,0,-0.9365635737776756,1.0,0,0.03035199952622247,4.0,0,-0.9296739622950554,2.0,0
2008-01-29,-0.9296739622950554,2.0,0,-0.9365635737776756,1.0,0,-0.39896214939653885,3.0,0,-0.9296739622950554,2.0,0
2008-01-30,0.8992815557867289,1.0,0,0.0,0.0,1,0.5155156096443533,2.0,0,0.8992815557867289,1.0,0
2008-01-31,0.8992815557867289,1.0,0,0.0,0.0,1,0.5155156096443533,2.0,0,0.8992815557867289,1.0,0
2008-02-01,0.8992815557867289,1.0,0,0.0,0.0,1,0.5155156096443533,2.0,0,0.8992815557867289,1.0,0
2008-02-02,0.8992815557867289,1.0,0,0.0,0.0,1,0.5155156096443533,2.0,0,0.8992815557867289,1.0,0
2008-02-03,0.8992815557867289,1.0,0,0.0,0.0,1,0.5155156096443533,2.0,0,0.8992815557867289,1.0,0
2008-02-04,0.8992815557867289,1.0,0,0.0,0.0,1,0.8992815557867289,1.0,0,0.8992815557867289,1.0,0
2008-02-05,0.8992815557867289,1.0,0,0.0,0.0,1,0.8992815557867289,1.0,0,0.8992815557867289,1.0,0
2008-02-06,0.0,0.0,1,0.0,0.0,1,-0.0734091605991125,1.0,0,0.0,0.0,1
2008-02-07,0.0,0.0,1,0.0,0.0,1,-0.0734091605991125,1.0,0,0.0,0.0,1
2008-02-08,0.0,0.0,1,0.0,0.0,1,-0.0734091605991125,1.0,0,0.0,0.0,1
2008-02-09,0.0,0.0,1,0.0,0.0,1,-0.0734091605991125,1.0,0,0.0,0.0,1
2008-02-10,0.0,0.0,1,0.0,0.0,1,-0.0734091605991125,1.0,0,0.0,0.0,1
2008-02-11,0.0,0.0,1,0.0,0.0,1,-0.0734091605991125,1.0,0,0.0,0.0,1
2008-02-12,0.0,0.0,1,0.0,0.0,1,-0.0734091605991125,1.0,0,0.0,0.0,1
2008-02-13,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2008-02-14,0.0,0.0,1,0.0,0.0,1,0.0473739979788661,1.0,0,0.0,0.0,1
2008-02-15,0.0,0.0,1,0.0,0.0,1,0.0473739979788661,1.0,0,0.0,0.0,1
2008-02-16,0.0,0.0,1,0.0,0.0,1,0.06913785776123389,2.0,0,0.0,0.0,1
2008-02-17,0.0,0.0,1,0.0,0.0,1,0.06913785776123389,2.0,0,0.0,0.0,1
2008-02-18,0.0,0.0,1,0.0,0.0,1,0.06913785776123389,2.0,0,0.0,0.0,1
2008-02-19,0.0,0.0,1,0.0,0.0,1,0.06913785776123389,2.0,0,0.0,0.0,1
2008-02-20,0.0,0.0,1,0.0,0.0,1,0.06913785776123389,2.0,0,0.0,0.0,1
2008-02-21,0.0,0.0,1,0.0,0.0,1,-0.38428173307329433,2.0,0,-0.0521664023399353,1.0,0
2008-02-22,0.0,0.0,1,0.0,0.0,1,-0.38428173307329433,2.0,0,0.0246581882238388,2.0,0
2008-02-23,0.0,0.0,1,0.0,0.0,1,-0.8594651836901903,1.0,0,0.0246581882238388,2.0,0
2008-02-24,0.0,0.0,1,0.0,0.0,1,-0.8594651836901903,1.0,0,0.0246581882238388,2.0,0
2008-02-25,0.0,0.0,1,0.0,0.0,1,-0.8594651836901903,1.0,0,0.0246581882238388,2.0,0
2008-02-26,0.0,0.0,1,0.0,0.0,1,-0.8594651836901903,1.0,0,0.0246581882238388,2.0,0
2008-02-27,-0.9116094075143336,1.0,0,-0.9116094075143336,1.0,0,-0.8855371763929726,2.0,0,-0.28743093088269234,3.0,0
2008-02-28,-0.1676243334077298,2.0,0,-0.9116094075143336,1.0,0,-0.16762421419844042,2.0,0,-0.40506319515407085,2.0,0
2008-02-29,-0.1676243334077298,2.0,0,-0.9116094075143336,1.0,0,-0.16762421419844042,2.0,0,-0.9116091690957546,1.0,0
2008-03-01,-0.1676243334077298,2.0,0,-0.5312092266976832,2.0,0,-0.16762421419844042,2.0,0,-0.9116091690957546,1.0,0
2008-03-02,-0.1676243334077298,2.0,0,-0.5312092266976832,2.0,0,-0.16762421419844042,2.0,0,-0.9116091690957546,1.0,0
2008-03-03,-0.1676243334077298,2.0,0,-0.5312092266976832,2.0,0,-0.16762421419844042,2.0,0,-0.9116091690957546,1.0,0
2008-03-04,-0.1676243334077298,2.0,0,-0.5312092266976832,2.0,0,-0.10568282722185064,3.0,0,-0.9116091690957546,1.0,0
2008-03-05,0.576360740698874,1.0,0,-0.1508090458810329,1.0,0,0.29728034371510137,2.0,0,0.0,0.0,1
2008-03-06,0.0,0.0,1,-0.1508090458810329,1.0,0,0.0181999467313289,1.0,0,0.0,0.0,1
2008-03-07,0.0,0.0,1,-0.1508090458810329,1.0,0,0.47466883156448597,2.0,0,0.9311377163976432,1.0,0
2008-03-08,0.0,0.0,1,0.0,0.0,1,0.10194159857928749,3.0,0,0.14381242450326687,2.0,0
2008-03-09,0.0,0.0,1,0.0,0.0,1,0.10194159857928749,3.0,0,0.14381242450326687,2.0,0
2008-03-10,0.0,0.0,1,0.0,0.0,1,0.10194159857928749,3.0,0,0.14381242450326687,2.0,0
2008-03-11,0.0,0.0,1,0.0,0.0,1,-0.104222035035491,3.0,0,-0.10422203503549095,3.0,0
2008-03-12,0.0,0.0,1,0.0,0.0,1,-0.104222035035491,3.0,0,-0.10422203503549095,3.0,0
2008-03-13,0.0,0.0,1,0.0,0.0,1,-0.06044938787817958,4.0,0,-0.10422203503549095,3.0,0
2008-03-14,0.0,0.0,1,0.0,0.0,1,-0.39097842263678717,3.0,0,-0.621901910752058,2.0,0
2008-03-15,0.0,0.0,1,0.0,0.0,1,-0.264711200259626,2.0,0,-0.6002909541130066,1.0,0
2008-03-16,0.0,0.0,1,0.0,0.0,1,-0.264711200259626,2.0,0,-0.6002909541130066,1.0,0
2008-03-17,0.0,0.0,1,0.0,0.0,1,-0.264711200259626,2.0,0,-0.6002909541130066,1.0,0
2008-03-18,0.0,0.0,1,0.0,0.0,1,0.0708685535937547,1.0,0,0.0,0.0,1
2008-03-19,0.0,0.0,1,0.0,0.0,1,0.0708685535937547,1.0,0,0.0,0.0,1
